Season,TeamA,TeamB,Round
1987,1104,1309,2
1987,1181,1462,2
1987,1231,1120,2
1987,1314,1276,2
1987,1323,1395,2
1987,1344,1122,2
1987,1424,1243,2
1987,1461,1417,2
1987,1177,1385,2
1987,1196,1345,2
1987,1207,1326,2
1987,1234,1431,2
1987,1242,1283,2
1987,1261,1396,2
1987,1328,1338,2
1987,1393,1443,2
1987,1207,1242,3
1987,1314,1323,3
1987,1344,1104,3
1987,1393,1196,3
1987,1231,1181,3
1987,1234,1328,3
1987,1261,1177,3
1987,1424,1461,3
1987,1344,1207,4
1987,1393,1314,4
1987,1231,1261,4
1987,1424,1234,4
1987,1231,1424,5
1987,1393,1344,5
1987,1231,1393,6
1988,1120,1133,1
1988,1140,1150,1
1988,1177,1455,1
1988,1181,1131,1
1988,1196,1385,1
1988,1243,1247,1
1988,1257,1333,1
1988,1258,1461,1
1988,1272,1124,1
1988,1276,1129,1
1988,1314,1317,1
1988,1328,1151,1
1988,1345,1192,1
1988,1348,1281,1
1988,1374,1323,1
1988,1393,1299,1
1988,1112,1165,1
1988,1207,1261,1
1988,1210,1235,1
1988,1228,1427,1
1988,1234,1199,1
1988,1242,1462,1
1988,1246,1380,1
1988,1268,1364,1
1988,1293,1301,1
1988,1338,1185,1
1988,1350,1231,1
1988,1371,1431,1
1988,1396,1250,1
1988,1424,1283,1
1988,1435,1429,1
1988,1437,1116,1
1988,1181,1374,2
1988,1243,1177,2
1988,1257,1140,2
1988,1276,1196,2
1988,1314,1258,2
1988,1328,1120,2
1988,1345,1272,2
1988,1348,1393,2
1988,1112,1371,2
1988,1234,1424,2
1988,1242,1293,2
1988,1246,1268,2
1988,1350,1210,2
1988,1396,1207,2
1988,1435,1338,2
1988,1437,1228,2
1988,1181,1348,3
1988,1328,1257,3
1988,1396,1350,3
1988,1437,1246,3
1988,1112,1234,3
1988,1242,1435,3
1988,1243,1345,3
1988,1314,1276,3
1988,1181,1396,4
1988,1328,1437,4
1988,1112,1314,4
1988,1242,1243,4
1988,1242,1181,5
1988,1328,1112,5
1988,1242,1328,6
1989,1112,1352,1
1989,1116,1258,1
1989,1123,1338,1
1989,1155,1388,1
1989,1177,1272,1
1989,1181,1354,1
1989,1228,1270,1
1989,1256,1247,1
1989,1257,1114,1
1989,1278,1243,1
1989,1292,1199,1
1989,1328,1190,1
1989,1373,1390,1
1989,1424,1225,1
1989,1438,1344,1
1989,1452,1397,1
1989,1161,1196,1
1989,1191,1333,1
1989,1207,1343,1
1989,1231,1206,1
1989,1234,1353,1
1989,1276,1462,1
1989,1281,1166,1
1989,1301,1376,1
1989,1314,1380,1
1989,1323,1435,1
1989,1371,1283,1
1989,1375,1104,1
1989,1393,1137,1
1989,1400,1210,1
1989,1417,1235,1
1989,1431,1261,1
1989,1112,1155,2
1989,1181,1452,2
1989,1228,1123,2
1989,1257,1116,2
1989,1278,1373,2
1989,1328,1256,2
1989,1424,1177,2
1989,1438,1292,2
1989,1207,1323,2
1989,1231,1431,2
1989,1276,1375,2
1989,1281,1400,2
1989,1301,1234,2
1989,1314,1417,2
1989,1371,1191,2
1989,1393,1161,2
1989,1276,1314,3
1989,1371,1231,3
1989,1424,1112,3
1989,1438,1328,3
1989,1181,1278,3
1989,1207,1301,3
1989,1228,1257,3
1989,1393,1281,3
1989,1276,1438,4
1989,1371,1424,4
1989,1181,1207,4
1989,1228,1393,4
1989,1276,1228,5
1989,1371,1181,5
1989,1276,1371,6
1990,1116,1343,1
1990,1123,1333,1
1990,1143,1231,1
1990,1155,1140,1
1990,1163,1131,1
1990,1173,1228,1
1990,1210,1190,1
1990,1247,1379,1
1990,1257,1225,1
1990,1261,1437,1
1990,1277,1293,1
1990,1314,1283,1
1990,1326,1344,1
1990,1328,1406,1
1990,1364,1222,1
1990,1424,1114,1
1990,1104,1161,1
1990,1112,1378,1
1990,1181,1350,1
1990,1207,1411,1
1990,1242,1352,1
1990,1258,1308,1
1990,1276,1229,1
1990,1278,1431,1
1990,1320,1281,1
1990,1345,1419,1
1990,1385,1396,1
1990,1393,1164,1
1990,1400,1208,1
1990,1417,1412,1
1990,1438,1323,1
1990,1462,1243,1
1990,1116,1173,2
1990,1123,1257,2
1990,1155,1247,2
1990,1163,1143,2
1990,1210,1261,2
1990,1277,1364,2
1990,1314,1328,2
1990,1424,1326,2
1990,1104,1112,2
1990,1181,1385,2
1990,1258,1276,2
1990,1278,1320,2
1990,1393,1438,2
1990,1400,1345,2
1990,1417,1242,2
1990,1462,1207,2
1990,1116,1314,3
1990,1163,1155,3
1990,1181,1417,3
1990,1400,1462,3
1990,1210,1277,3
1990,1258,1104,3
1990,1278,1393,3
1990,1424,1123,3
1990,1116,1400,4
1990,1181,1163,4
1990,1210,1278,4
1990,1424,1258,4
1990,1181,1116,5
1990,1424,1210,5
1990,1424,1181,6
1991,1112,1384,1
1991,1140,1438,1
1991,1163,1261,1
1991,1166,1308,1
1991,1181,1419,1
1991,1199,1425,1
1991,1231,1157,1
1991,1234,1190,1
1991,1242,1309,1
1991,1301,1379,1
1991,1329,1307,1
1991,1338,1208,1
1991,1350,1393,1
1991,1371,1337,1
1991,1396,1345,1
1991,1462,1304,1
1991,1104,1293,1
1991,1113,1353,1
1991,1116,1209,1
1991,1185,1280,1
1991,1207,1435,1
1991,1210,1177,1
1991,1277,1453,1
1991,1314,1318,1
1991,1326,1406,1
1991,1336,1417,1
1991,1385,1296,1
1991,1400,1389,1
1991,1424,1285,1
1991,1428,1375,1
1991,1437,1343,1
1991,1448,1256,1
1991,1112,1140,2
1991,1163,1462,2
1991,1181,1234,2
1991,1231,1199,2
1991,1242,1338,2
1991,1329,1301,2
1991,1371,1166,2
1991,1396,1350,2
1991,1104,1448,2
1991,1116,1113,2
1991,1185,1336,2
1991,1314,1437,2
1991,1326,1210,2
1991,1385,1400,2
1991,1424,1207,2
1991,1428,1277,2
1991,1116,1104,3
1991,1242,1231,3
1991,1371,1112,3
1991,1424,1428,3
1991,1181,1163,3
1991,1314,1185,3
1991,1385,1326,3
1991,1396,1329,3
1991,1242,1116,4
1991,1424,1371,4
1991,1181,1385,4
1991,1314,1396,4
1991,1181,1424,5
1991,1242,1314,5
1991,1181,1242,6
1992,1104,1390,1
1992,1116,1293,1
1992,1163,1304,1
1992,1181,1144,1
1992,1199,1285,1
1992,1207,1378,1
1992,1210,1222,1
1992,1231,1183,1
1992,1234,1400,1
1992,1261,1140,1
1992,1272,1337,1
1992,1281,1452,1
1992,1314,1275,1
1992,1326,1290,1
1992,1371,1247,1
1992,1425,1419,1
1992,1153,1174,1
1992,1190,1112,1
1992,1235,1150,1
1992,1242,1224,1
1992,1246,1330,1
1992,1257,1448,1
1992,1269,1200,1
1992,1276,1396,1
1992,1277,1283,1
1992,1308,1177,1
1992,1329,1204,1
1992,1393,1343,1
1992,1408,1385,1
1992,1417,1352,1
1992,1418,1328,1
1992,1431,1191,1
1992,1181,1234,2
1992,1199,1207,2
1992,1210,1425,2
1992,1231,1261,2
1992,1272,1116,2
1992,1314,1104,2
1992,1326,1163,2
1992,1371,1281,2
1992,1153,1277,2
1992,1246,1235,2
1992,1269,1393,2
1992,1276,1190,2
1992,1308,1418,2
1992,1329,1408,2
1992,1417,1257,2
1992,1431,1242,2
1992,1181,1371,3
1992,1231,1199,3
1992,1246,1269,3
1992,1417,1308,3
1992,1153,1431,3
1992,1272,1210,3
1992,1276,1329,3
1992,1326,1314,3
1992,1181,1246,4
1992,1231,1417,4
1992,1153,1272,4
1992,1276,1326,4
1992,1181,1231,5
1992,1276,1153,5
1992,1181,1276,6
1993,1116,1221,1
1993,1140,1374,1
1993,1143,1261,1
1993,1181,1356,1
1993,1199,1191,1
1993,1228,1253,1
1993,1242,1123,1
1993,1314,1187,1
1993,1348,1345,1
1993,1365,1112,1
1993,1371,1398,1
1993,1385,1403,1
1993,1396,1281,1
1993,1408,1243,1
1993,1435,1129,1
1993,1443,1272,1
1993,1153,1164,1
1993,1203,1307,1
1993,1231,1460,1
1993,1234,1419,1
1993,1246,1351,1
1993,1257,1174,1
1993,1269,1335,1
1993,1276,1157,1
1993,1308,1304,1
1993,1329,1266,1
1993,1380,1210,1
1993,1417,1235,1
1993,1428,1338,1
1993,1438,1264,1
1993,1448,1151,1
1993,1462,1309,1
1993,1116,1385,2
1993,1143,1181,2
1993,1199,1408,2
1993,1242,1140,2
1993,1314,1348,2
1993,1396,1365,2
1993,1435,1228,2
1993,1443,1371,2
1993,1153,1308,2
1993,1203,1380,2
1993,1231,1462,2
1993,1246,1428,2
1993,1257,1329,2
1993,1276,1417,2
1993,1438,1269,2
1993,1448,1234,2
1993,1199,1443,3
1993,1231,1257,3
1993,1242,1143,3
1993,1246,1448,3
1993,1153,1438,3
1993,1276,1203,3
1993,1314,1116,3
1993,1396,1435,3
1993,1242,1231,4
1993,1246,1199,4
1993,1276,1396,4
1993,1314,1153,4
1993,1276,1246,5
1993,1314,1242,5
1993,1314,1276,6
1994,1104,1344,1
1994,1163,1351,1
1994,1196,1241,1
1994,1203,1412,1
1994,1242,1151,1
1994,1268,1387,1
1994,1269,1402,1
1994,1276,1337,1
1994,1281,1298,1
1994,1335,1304,1
1994,1345,1416,1
1994,1393,1218,1
1994,1400,1443,1
1994,1448,1158,1
1994,1453,1143,1
1994,1458,1153,1
1994,1112,1259,1
1994,1116,1299,1
1994,1130,1450,1
1994,1181,1411,1
1994,1207,1228,1
1994,1231,1325,1
1994,1246,1398,1
1994,1257,1129,1
1994,1266,1418,1
1994,1277,1371,1
1994,1278,1356,1
1994,1314,1251,1
1994,1329,1308,1
1994,1396,1180,1
1994,1409,1417,1
1994,1438,1307,1
1994,1163,1203,2
1994,1196,1335,2
1994,1242,1448,2
1994,1268,1269,2
1994,1276,1400,2
1994,1281,1458,2
1994,1345,1104,2
1994,1393,1453,2
1994,1112,1438,2
1994,1116,1207,2
1994,1130,1314,2
1994,1181,1277,2
1994,1231,1396,2
1994,1257,1278,2
1994,1266,1246,2
1994,1409,1329,2
1994,1112,1257,3
1994,1181,1266,3
1994,1281,1393,3
1994,1345,1242,3
1994,1116,1409,3
1994,1130,1231,3
1994,1196,1163,3
1994,1276,1268,3
1994,1112,1281,4
1994,1181,1345,4
1994,1116,1276,4
1994,1196,1130,4
1994,1116,1112,5
1994,1181,1196,5
1994,1116,1181,6
1995,1104,1335,1
1995,1113,1123,1
1995,1153,1396,1
1995,1163,1151,1
1995,1242,1159,1
1995,1246,1291,1
1995,1264,1328,1
1995,1268,1211,1
1995,1275,1112,1
1995,1329,1180,1
1995,1387,1278,1
1995,1400,1332,1
1995,1408,1140,1
1995,1438,1311,1
1995,1443,1276,1
1995,1448,1299,1
1995,1116,1411,1
1995,1207,1462,1
1995,1235,1196,1
1995,1269,1389,1
1995,1272,1257,1
1995,1280,1365,1
1995,1281,1231,1
1995,1314,1293,1
1995,1330,1437,1
1995,1345,1453,1
1995,1390,1150,1
1995,1393,1356,1
1995,1409,1228,1
1995,1417,1198,1
1995,1428,1253,1
1995,1451,1277,1
1995,1113,1264,2
1995,1163,1153,2
1995,1242,1443,2
1995,1246,1408,2
1995,1268,1400,2
1995,1329,1104,2
1995,1438,1275,2
1995,1448,1387,2
1995,1116,1393,2
1995,1207,1451,2
1995,1269,1390,2
1995,1272,1345,2
1995,1280,1428,2
1995,1314,1235,2
1995,1409,1330,2
1995,1417,1281,2
1995,1163,1268,3
1995,1246,1113,3
1995,1314,1207,3
1995,1417,1280,3
1995,1116,1272,3
1995,1269,1409,3
1995,1329,1448,3
1995,1438,1242,3
1995,1314,1246,4
1995,1417,1163,4
1995,1116,1438,4
1995,1329,1269,4
1995,1116,1314,5
1995,1417,1329,5
1995,1417,1116,6
1996,1116,1336,1
1996,1163,1159,1
1996,1180,1272,1
1996,1185,1181,1
1996,1208,1155,1
1996,1235,1143,1
1996,1246,1363,1
1996,1266,1284,1
1996,1269,1416,1
1996,1280,1433,1
1996,1343,1417,1
1996,1345,1441,1
1996,1390,1133,1
1996,1393,1286,1
1996,1428,1145,1
1996,1439,1453,1
1996,1112,1434,1
1996,1130,1231,1
1996,1153,1422,1
1996,1207,1290,1
1996,1210,1122,1
1996,1234,1203,1
1996,1242,1354,1
1996,1257,1409,1
1996,1307,1243,1
1996,1314,1309,1
1996,1365,1268,1
1996,1396,1328,1
1996,1400,1276,1
1996,1403,1296,1
1996,1437,1339,1
1996,1448,1419,1
1996,1116,1266,2
1996,1163,1185,2
1996,1208,1345,2
1996,1246,1439,2
1996,1269,1390,2
1996,1280,1343,2
1996,1393,1180,2
1996,1428,1235,2
1996,1112,1234,2
1996,1153,1396,2
1996,1207,1307,2
1996,1210,1130,2
1996,1242,1365,2
1996,1257,1437,2
1996,1403,1314,2
1996,1448,1400,2
1996,1207,1403,3
1996,1246,1428,3
1996,1269,1116,3
1996,1448,1257,3
1996,1153,1210,3
1996,1242,1112,3
1996,1280,1163,3
1996,1393,1208,3
1996,1246,1448,4
1996,1269,1207,4
1996,1280,1153,4
1996,1393,1242,4
1996,1246,1269,5
1996,1393,1280,5
1996,1246,1393,6
1997,1112,1375,1
1997,1130,1434,1
1997,1143,1343,1
1997,1153,1139,1
1997,1158,1268,1
1997,1160,1231,1
1997,1234,1438,1
1997,1235,1229,1
1997,1242,1238,1
1997,1246,1285,1
1997,1314,1193,1
1997,1345,1348,1
1997,1386,1334,1
1997,1417,1149,1
1997,1437,1254,1
1997,1462,1435,1
1997,1150,1207,1
1997,1151,1208,1
1997,1155,1275,1
1997,1164,1376,1
1997,1181,1293,1
1997,1228,1425,1
1997,1257,1269,1
1997,1278,1402,1
1997,1307,1330,1
1997,1344,1266,1
1997,1390,1328,1
1997,1396,1279,1
1997,1400,1458,1
1997,1409,1131,1
1997,1428,1298,1
1997,1448,1388,1
1997,1112,1158,2
1997,1143,1437,2
1997,1235,1153,2
1997,1242,1345,2
1997,1246,1234,2
1997,1314,1160,2
1997,1386,1130,2
1997,1417,1462,2
1997,1151,1228,2
1997,1155,1409,2
1997,1257,1307,2
1997,1278,1396,2
1997,1344,1181,2
1997,1390,1448,2
1997,1400,1164,2
1997,1428,1150,2
1997,1246,1386,3
1997,1278,1155,3
1997,1417,1235,3
1997,1428,1390,3
1997,1112,1242,3
1997,1257,1400,3
1997,1314,1143,3
1997,1344,1151,3
1997,1246,1428,4
1997,1278,1417,4
1997,1112,1344,4
1997,1314,1257,4
1997,1112,1314,5
1997,1246,1278,5
1997,1112,1246,6
1998,1112,1311,1
1998,1116,1304,1
1998,1150,1227,1
1998,1153,1319,1
1998,1163,1192,1
1998,1228,1375,1
1998,1229,1397,1
1998,1231,1328,1
1998,1268,1429,1
1998,1277,1185,1
1998,1314,1298,1
1998,1343,1424,1
1998,1350,1376,1
1998,1428,1362,1
1998,1449,1462,1
1998,1452,1396,1
1998,1178,1385,1
1998,1181,1347,1
1998,1199,1395,1
1998,1242,1341,1
1998,1246,1354,1
1998,1276,1172,1
1998,1307,1139,1
1998,1329,1203,1
1998,1345,1174,1
1998,1348,1293,1
1998,1387,1269,1
1998,1390,1158,1
1998,1393,1233,1
1998,1417,1274,1
1998,1434,1279,1
1998,1444,1155,1
1998,1112,1229,2
1998,1163,1231,2
1998,1268,1228,2
1998,1277,1343,2
1998,1314,1150,2
1998,1428,1116,2
1998,1449,1350,2
1998,1452,1153,2
1998,1181,1329,2
1998,1246,1387,2
1998,1345,1178,2
1998,1348,1242,2
1998,1390,1444,2
1998,1393,1307,2
1998,1417,1276,2
1998,1434,1199,2
1998,1112,1268,3
1998,1163,1449,3
1998,1314,1277,3
1998,1428,1452,3
1998,1181,1393,3
1998,1246,1417,3
1998,1348,1434,3
1998,1390,1345,3
1998,1314,1163,4
1998,1428,1112,4
1998,1246,1181,4
1998,1390,1348,4
1998,1246,1390,5
1998,1428,1314,5
1998,1246,1428,6
1999,1116,1373,1
1999,1120,1457,1
1999,1163,1427,1
1999,1166,1257,1
1999,1178,1417,1
1999,1196,1335,1
1999,1211,1278,1
1999,1231,1203,1
1999,1234,1412,1
1999,1268,1434,1
1999,1307,1281,1
1999,1326,1293,1
1999,1329,1393,1
1999,1385,1359,1
1999,1390,1108,1
1999,1451,1314,1
1999,1150,1348,1
1999,1153,1206,1
1999,1181,1197,1
1999,1242,1191,1
1999,1246,1308,1
1999,1274,1248,1
1999,1275,1449,1
1999,1277,1291,1
1999,1279,1437,1
1999,1283,1458,1
1999,1328,1112,1
1999,1345,1400,1
1999,1396,1245,1
1999,1397,1174,1
1999,1409,1158,1
1999,1428,1117,1
1999,1120,1329,2
1999,1163,1307,2
1999,1196,1451,2
1999,1211,1390,2
1999,1234,1116,2
1999,1268,1166,2
1999,1326,1178,2
1999,1385,1231,2
1999,1181,1409,2
1999,1246,1242,2
1999,1275,1428,2
1999,1277,1279,2
1999,1283,1397,2
1999,1328,1150,2
1999,1345,1274,2
1999,1396,1153,2
1999,1163,1234,3
1999,1211,1196,3
1999,1326,1120,3
1999,1385,1268,3
1999,1181,1283,3
1999,1246,1275,3
1999,1277,1328,3
1999,1396,1345,3
1999,1163,1211,4
1999,1326,1385,4
1999,1181,1396,4
1999,1277,1246,4
1999,1163,1326,5
1999,1181,1277,5
1999,1163,1181,6
2000,1112,1238,1
2000,1120,1166,1
2000,1211,1257,1
2000,1235,1148,1
2000,1246,1382,1
2000,1261,1369,1
2000,1268,1233,1
2000,1277,1434,1
2000,1328,1457,1
2000,1345,1173,1
2000,1385,1319,1
2000,1393,1359,1
2000,1400,1232,1
2000,1417,1123,1
2000,1428,1387,1
2000,1458,1201,1
2000,1153,1423,1
2000,1163,1429,1
2000,1181,1249,1
2000,1196,1139,1
2000,1228,1335,1
2000,1242,1177,1
2000,1274,1116,1
2000,1314,1281,1
2000,1326,1111,1
2000,1329,1220,1
2000,1337,1231,1
2000,1371,1332,1
2000,1390,1354,1
2000,1396,1248,1
2000,1397,1418,1
2000,1409,1424,1
2000,1211,1385,2
2000,1235,1120,2
2000,1261,1400,2
2000,1277,1428,2
2000,1345,1328,2
2000,1393,1246,2
2000,1417,1268,2
2000,1458,1112,2
2000,1181,1242,2
2000,1196,1228,2
2000,1274,1326,2
2000,1314,1390,2
2000,1329,1337,2
2000,1371,1396,2
2000,1397,1163,2
2000,1409,1153,2
2000,1235,1417,3
2000,1277,1393,3
2000,1345,1211,3
2000,1458,1261,3
2000,1196,1181,3
2000,1314,1397,3
2000,1329,1371,3
2000,1409,1274,3
2000,1277,1235,4
2000,1458,1345,4
2000,1196,1329,4
2000,1314,1409,4
2000,1196,1314,5
2000,1277,1458,5
2000,1277,1196,6
2001,1322,1457,0
2001,1130,1381,1
2001,1153,1140,1
2001,1181,1284,1
2001,1207,1116,1
2001,1209,1458,1
2001,1214,1235,1
2001,1234,1166,1
2001,1245,1231,1
2001,1246,1221,1
2001,1268,1206,1
2001,1281,1208,1
2001,1386,1210,1
2001,1390,1422,1
2001,1417,1220,1
2001,1425,1329,1
2001,1429,1326,1
2001,1112,1183,1
2001,1139,1448,1
2001,1150,1397,1
2001,1196,1443,1
2001,1201,1143,1
2001,1211,1438,1
2001,1228,1322,1
2001,1232,1328,1
2001,1242,1169,1
2001,1277,1106,1
2001,1279,1233,1
2001,1314,1343,1
2001,1323,1462,1
2001,1336,1344,1
2001,1393,1218,1
2001,1396,1400,1
2001,1153,1245,2
2001,1181,1281,2
2001,1207,1214,2
2001,1246,1234,2
2001,1268,1209,2
2001,1390,1386,2
2001,1417,1429,2
2001,1425,1130,2
2001,1112,1139,2
2001,1211,1232,2
2001,1228,1150,2
2001,1242,1393,2
2001,1277,1201,2
2001,1279,1323,2
2001,1336,1314,2
2001,1396,1196,2
2001,1181,1417,3
2001,1268,1207,3
2001,1390,1153,3
2001,1425,1246,3
2001,1112,1279,3
2001,1228,1242,3
2001,1277,1211,3
2001,1396,1336,3
2001,1181,1425,4
2001,1268,1390,4
2001,1112,1228,4
2001,1277,1396,4
2001,1112,1277,5
2001,1181,1268,5
2001,1181,1112,6
2002,1373,1108,0
2002,1104,1194,1
2002,1112,1364,1
2002,1181,1457,1
2002,1231,1428,1
2002,1242,1221,1
2002,1245,1329,1
2002,1246,1434,1
2002,1281,1274,1
2002,1323,1150,1
2002,1326,1172,1
2002,1332,1285,1
2002,1390,1443,1
2002,1409,1266,1
2002,1423,1425,1
2002,1448,1337,1
2002,1461,1211,1
2002,1143,1335,1
2002,1153,1131,1
2002,1163,1214,1
2002,1166,1196,1
2002,1208,1293,1
2002,1228,1361,1
2002,1268,1373,1
2002,1280,1270,1
2002,1301,1277,1
2002,1328,1227,1
2002,1338,1148,1
2002,1356,1403,1
2002,1400,1130,1
2002,1417,1279,1
2002,1458,1385,1
2002,1462,1218,1
2002,1112,1461,2
2002,1181,1323,2
2002,1231,1423,2
2002,1242,1390,2
2002,1245,1104,2
2002,1246,1409,2
2002,1281,1326,2
2002,1332,1448,2
2002,1163,1301,2
2002,1228,1166,2
2002,1268,1458,2
2002,1328,1462,2
2002,1338,1143,2
2002,1356,1208,2
2002,1400,1280,2
2002,1417,1153,2
2002,1231,1181,3
2002,1245,1338,3
2002,1281,1417,3
2002,1328,1112,3
2002,1163,1356,3
2002,1242,1228,3
2002,1268,1246,3
2002,1332,1400,3
2002,1231,1245,4
2002,1328,1281,4
2002,1242,1332,4
2002,1268,1163,4
2002,1231,1328,5
2002,1268,1242,5
2002,1268,1231,6
2003,1421,1411,0
2003,1112,1436,1
2003,1113,1272,1
2003,1141,1166,1
2003,1143,1301,1
2003,1163,1140,1
2003,1181,1161,1
2003,1211,1153,1
2003,1228,1443,1
2003,1242,1429,1
2003,1266,1221,1
2003,1281,1356,1
2003,1323,1454,1
2003,1328,1354,1
2003,1390,1360,1
2003,1409,1173,1
2003,1458,1451,1
2003,1120,1386,1
2003,1139,1280,1
2003,1196,1358,1
2003,1231,1104,1
2003,1246,1237,1
2003,1257,1122,1
2003,1268,1423,1
2003,1277,1160,1
2003,1329,1335,1
2003,1338,1447,1
2003,1345,1261,1
2003,1393,1264,1
2003,1400,1421,1
2003,1428,1332,1
2003,1448,1190,1
2003,1462,1407,1
2003,1112,1211,2
2003,1163,1390,2
2003,1181,1141,2
2003,1242,1113,2
2003,1266,1281,2
2003,1323,1228,2
2003,1328,1143,2
2003,1458,1409,2
2003,1120,1448,2
2003,1139,1257,2
2003,1246,1428,2
2003,1268,1462,2
2003,1277,1196,2
2003,1338,1231,2
2003,1393,1329,2
2003,1400,1345,2
2003,1112,1323,3
2003,1242,1181,3
2003,1246,1458,3
2003,1266,1338,3
2003,1277,1268,3
2003,1328,1139,3
2003,1393,1120,3
2003,1400,1163,3
2003,1242,1112,4
2003,1266,1246,4
2003,1393,1328,4
2003,1400,1277,4
2003,1242,1266,5
2003,1393,1400,5
2003,1393,1242,6
2004,1197,1250,0
2004,1104,1356,1
2004,1163,1436,1
2004,1177,1173,1
2004,1181,1106,1
2004,1211,1434,1
2004,1264,1196,1
2004,1268,1431,1
2004,1305,1277,1
2004,1314,1102,1
2004,1371,1112,1
2004,1386,1251,1
2004,1390,1427,1
2004,1393,1140,1
2004,1400,1343,1
2004,1403,1150,1
2004,1448,1433,1
2004,1130,1428,1
2004,1153,1190,1
2004,1210,1320,1
2004,1228,1293,1
2004,1242,1227,1
2004,1246,1197,1
2004,1272,1376,1
2004,1280,1284,1
2004,1301,1418,1
2004,1329,1186,1
2004,1334,1344,1
2004,1338,1416,1
2004,1412,1449,1
2004,1435,1444,1
2004,1458,1350,1
2004,1462,1257,1
2004,1104,1390,2
2004,1163,1177,2
2004,1181,1371,2
2004,1305,1211,2
2004,1386,1403,2
2004,1393,1268,2
2004,1400,1314,2
2004,1448,1264,2
2004,1210,1130,2
2004,1228,1153,2
2004,1242,1334,2
2004,1329,1272,2
2004,1338,1458,2
2004,1412,1246,2
2004,1435,1301,2
2004,1462,1280,2
2004,1104,1393,3
2004,1163,1435,3
2004,1329,1338,3
2004,1386,1448,3
2004,1181,1228,3
2004,1210,1305,3
2004,1242,1412,3
2004,1462,1400,3
2004,1163,1104,4
2004,1329,1386,4
2004,1181,1462,4
2004,1210,1242,4
2004,1163,1181,5
2004,1210,1329,5
2004,1163,1210,6
2005,1324,1105,0
2005,1112,1429,1
2005,1130,1335,1
2005,1153,1234,1
2005,1211,1457,1
