Season,TeamID,G1,G2,G3,G4,G5
1985,1333,W,L,W,W,L
1985,1345,W,W,L,W,L
1985,1352,L,L,L,L,L
1985,1380,W,W,L,W,W
1985,1408,L,W,W,L,W
1985,1410,L,L,L,W,L
1985,1462,L,W,L,W,L
1985,1209,L,L,L,L,L
1985,1336,L,L,L,L,L
1985,1343,L,L,W,W,L
1985,1232,L,W,L,L,L
1985,1110,L,W,L,L,W
1985,1335,L,W,W,W,W
1985,1283,L,W,W,L,W
1985,1166,L,L,L,L,L
1985,1311,W,W,W,W,W
1985,1147,L,L,L,W,L
1985,1250,W,W,W,W,L
1985,1452,L,W,W,W,W
1985,1208,L,W,L,W,W
1985,1263,L,W,W,W,W
1985,1446,L,W,L,L,L
1985,1427,L,W,L,W,W
1985,1113,L,L,W,L,L
1985,1350,L,W,W,W,L
1985,1450,L,W,W,L,L
1985,1131,L,W,W,L,L
1985,1168,L,W,W,W,W
1985,1179,W,L,L,L,L
1985,1304,L,L,L,L,W
1985,1356,L,W,L,W,W
1985,1426,L,L,L,L,L
1985,1190,W,W,L,W,L
1985,1224,L,W,W,W,W
1985,1215,L,W,L,L,L
1985,1132,L,W,L,W,W
1985,1217,L,L,W,L,L
1985,1389,L,L,W,L,W
1985,1395,L,L,W,W,L
1985,1461,L,L,W,L,L
1985,1275,L,W,W,W,W
1985,1293,L,W,L,L,L
1985,1401,L,W,W,W,L
1985,1279,L,L,L,L,L
1985,1191,L,W,L,W,L
1985,1299,W,W,W,W,L
1985,1175,L,W,W,W,L
1985,1327,L,L,L,L,L
1985,1207,W,W,W,W,W
1985,1108,L,W,W,W,W
1985,1182,L,W,W,L,L
1986,1181,W,W,W,W,W
1986,1412,L,W,W,L,W
1986,1249,L,W,W,W,W
1986,1401,L,W,W,W,W
1986,1133,L,W,W,W,W
1986,1197,W,L,L,L,L
1986,1208,L,W,W,L,L
1986,1211,W,W,W,L,W
1986,1218,L,L,L,L,L
1986,1242,W,W,W,W,W
1986,1246,W,W,W,W,W
1986,1257,W,W,W,W,W
1986,1261,L,W,L,L,W
1986,1274,L,W,W,L,L
1986,1276,W,W,W,W,W
1986,1281,L,W,W,W,L
1986,1307,L,W,W,W,L
1986,1328,W,L,L,W,L
1986,1334,L,W,W,W,W
1986,1339,L,W,L,L,L
1986,1356,L,L,L,L,L
1986,1360,W,L,W,W,W
1986,1385,W,W,W,W,W
1986,1397,L,L,L,L,L
1986,1409,W,W,W,W,W
1986,1424,W,W,W,W,L
1986,1425,W,L,L,W,L
1986,1428,L,W,W,W,W
1986,1437,L,W,W,W,W
1986,1449,L,W,W,L,W
1986,1452,L,W,W,W,W
1986,1458,W,L,L,W,L
1986,1260,L,W,L,W,W
1986,1126,L,W,L,L,W
1986,1418,L,W,W,L,L
1986,1453,L,L,L,W,W
1986,1168,L,W,W,L,L
1986,1337,W,W,W,W,W
1986,1322,W,W,W,L,W
1986,1275,L,W,W,W,W
1986,1286,W,W,W,W,W
1986,1154,L,W,L,W,L
1986,1439,L,W,W,L,W
1986,1411,L,W,L,L,W
1986,1137,L,W,L,W,W
1986,1364,L,W,L,L,W
1986,1365,W,W,L,L,W
1986,1333,L,L,L,W,L
1986,1152,W,W,W,W,W
1986,1253,L,W,L,L,L
1986,1298,W,W,W,W,W
1986,1368,W,L,L,W,L
1986,1173,L,W,L,L,L
1986,1305,L,W,L,L,W
1986,1149,W,W,W,W,L
1986,1398,L,L,W,L,W
1986,1180,W,W,W,W,W
1986,1431,W,W,W,W,W
1986,1120,L,W,W,W,W
1986,1376,L,L,L,L,L
1986,1106,L,W,W,L,L
1986,1129,L,W,W,L,L
1986,1145,L,W,W,L,L
1986,1153,L,W,L,L,L
1986,1186,L,W,W,W,W
1986,1206,L,W,W,W,W
1986,1215,L,W,W,W,L
1986,1220,L,W,W,W,L
1986,1245,L,W,W,L,L
1986,1268,L,W,W,W,L
1986,1277,W,L,W,W,W
1986,1292,L,W,W,W,W
1986,1306,L,L,L,L,L
1986,1319,L,L,W,W,W
1986,1393,L,W,W,W,L
1986,1402,L,W,L,L,L
1986,1406,L,W,L,W,L
1986,1423,L,W,W,L,W
1986,1429,L,W,L,W,L
1986,1438,L,W,L,L,W
1986,1443,L,W,L,W,W
1986,1450,W,W,L,L,L
1986,1451,L,W,L,W,L
1986,1354,L,L,W,W,L
1986,1226,W,L,L,W,W
1986,1165,L,L,W,W,W
1986,1378,W,L,L,L,W
1986,1416,L,L,L,L,L
1986,1317,L,W,L,L,L
1986,1200,L,W,W,L,L
1986,1384,L,L,L,L,W
1986,1318,W,W,W,W,W
1986,1243,L,L,L,L,W
1986,1442,L,W,L,L,L
1986,1278,L,L,L,L,L
1986,1135,W,W,L,W,W
1986,1102,L,W,W,L,L
1986,1432,W,W,L,L,L
1986,1341,L,W,W,L,L
1986,1456,L,W,L,L,L
1986,1119,L,L,L,L,L
1986,1222,L,W,L,L,L
1986,1359,L,W,L,W,W
1986,1201,L,L,W,L,W
1986,1116,L,L,L,W,L
1986,1134,L,W,L,L,L
1986,1234,W,W,L,L,W
1986,1314,L,L,W,L,L
1986,1462,W,W,W,W,W
1986,1405,L,W,W,L,L
1986,1114,W,W,W,W,W
1986,1417,L,W,L,W,W
1986,1436,L,W,W,L,L
1986,1155,L,L,L,L,W
1986,1161,L,L,L,L,L
1986,1178,L,W,L,L,L
1986,1185,L,L,L,L,L
1986,1187,L,L,L,L,W
1986,1193,W,W,W,W,W
1986,1223,L,W,W,L,W
1986,1270,L,W,W,L,W
1986,1301,L,L,L,W,L
1986,1353,L,W,L,L,L
1986,1389,L,W,L,W,L
1986,1400,L,W,L,L,W
1986,1403,W,W,W,W,W
1986,1419,W,W,W,L,W
1986,1271,L,W,W,L,L
1986,1141,L,L,W,L,L
1986,1464,L,W,W,L,W
1986,1144,L,L,L,L,L
1986,1280,L,W,W,L,L
1986,1143,W,L,W,W,W
1986,1441,L,W,W,W,W
1986,1233,L,W,W,L,W
1986,1192,L,W,W,W,W
1986,1288,L,W,W,L,L
1986,1285,L,W,W,L,W
1986,1147,L,W,W,W,L
1986,1122,L,W,L,L,L
1986,1124,W,W,L,L,L
1986,1163,L,L,L,L,L
1986,1196,L,W,W,L,L
1986,1204,L,L,L,W,W
1986,1228,W,L,W,W,W
1986,1235,L,W,W,L,W
1986,1247,L,W,W,W,W
1986,1266,L,W,L,W,W
1986,1304,L,W,W,W,L
1986,1326,L,L,W,W,L
1986,1335,W,W,W,W,W
1986,1343,W,W,L,L,L
1986,1345,L,W,L,W,W
1986,1350,L,W,L,W,W
1986,1362,L,L,L,L,L
1986,1390,L,L,L,L,W
1986,1396,L,W,W,W,W
1986,1426,L,L,L,L,L
1986,1440,L,W,L,L,L
1986,1447,L,W,W,W,W
1986,1448,L,W,L,L,L
1986,1191,L,W,L,L,W
1986,1331,L,W,L,L,W
1986,1463,W,L,W,L,L
1986,1238,L,W,L,L,L
1986,1254,L,L,L,L,L
1986,1184,L,W,L,L,W
1986,1229,L,W,W,W,L
1986,1284,W,W,L,L,L
1986,1263,L,L,W,W,L
1986,1269,L,L,L,L,L
1986,1216,L,L,L,W,L
1986,1250,L,L,L,W,L
1986,1391,W,L,L,L,L
1986,1344,L,W,W,W,W
1986,1121,L,W,W,L,L
1986,1203,L,L,L,W,W
1986,1108,L,W,W,W,W
1986,1347,L,W,L,W,L
1986,1264,L,L,L,L,L
1986,1150,L,L,W,L,W
1986,1338,L,L,W,L,L
1986,1349,L,L,L,L,L
1986,1374,L,W,W,L,L
1986,1455,L,W,L,W,W
1986,1410,W,L,W,W,W
1986,1202,L,L,L,W,W
1986,1111,L,W,L,W,W
1986,1310,L,L,L,L,W
1986,1290,W,W,W,W,W
1986,1320,L,L,L,L,W
1986,1112,L,W,W,W,W
1986,1256,L,W,L,L,W
1986,1272,L,W,W,L,W
1986,1308,L,W,W,L,L
1986,1332,W,W,L,W,L
1986,1444,L,L,L,L,L
1986,1427,W,W,L,L,L
1986,1380,L,L,L,W,W
1986,1190,L,W,L,W,L
1986,1258,L,L,W,W,L
1986,1199,L,W,W,L,W
1986,1361,L,W,L,L,W
1986,1209,L,L,L,L,L
1986,1375,L,L,W,L,W
1986,1267,L,W,W,L,L
1986,1435,L,L,W,L,L
1986,1388,L,L,L,W,L
1986,1174,L,L,W,L,W
1986,1103,W,W,W,W,L
1986,1113,W,L,W,L,L
1986,1117,L,W,W,W,L
1986,1130,L,L,L,W,L
1986,1160,L,L,L,L,L
1986,1162,L,L,W,W,L
1986,1177,W,L,L,W,W
1986,1182,L,W,W,W,L
1986,1212,L,L,W,W,L
1986,1217,L,L,L,L,W
1986,1225,L,L,L,L,W
1986,1231,L,W,W,W,L
1986,1248,L,W,L,L,W
1986,1309,L,L,L,L,W
1986,1323,W,W,W,W,W
1986,1373,L,W,L,W,W
1986,1383,L,L,L,L,L
1986,1387,L,W,W,W,W
1986,1395,L,W,L,L,W
1986,1399,L,W,W,W,W
1986,1433,L,W,W,L,L
1986,1132,L,L,L,L,L
1986,1363,L,W,L,W,L
1986,1321,L,L,L,L,W
1986,1348,L,L,L,W,W
1986,1371,L,W,L,L,L
1986,1296,L,L,W,W,W
1986,1352,L,W,L,L,W
1986,1159,L,L,L,L,L
1986,1210,L,W,W,W,L
1986,1461,L,W,W,W,L
1986,1414,L,L,W,W,W
1986,1139,L,L,L,L,L
1986,1109,L,L,L,L,L
1986,1273,L,W,W,L,L
1986,1330,L,W,W,W,L
1986,1140,L,L,W,L,L
1986,1283,L,W,W,W,W
1986,1104,L,W,W,W,L
1986,1131,L,W,W,W,W
1986,1156,W,W,W,W,W
1986,1221,L,W,W,L,L
1986,1379,L,W,W,W,L
1986,1351,L,W,L,L,L
1986,1434,L,L,L,W,L
1986,1164,L,W,L,L,W
1986,1171,L,W,L,L,L
1986,1183,L,W,W,W,L
1986,1311,L,W,L,L,L
1986,1241,L,W,L,L,L
1986,1207,L,W,W,W,L
1986,1325,L,W,W,W,W
1986,1265,W,W,W,W,W
1986,1179,L,W,L,W,L
1986,1232,L,W,L,L,L
1986,1259,L,W,W,L,L
1986,1287,L,L,L,W,L
1986,1151,L,W,W,L,W
1986,1336,L,W,L,W,L
1986,1172,W,W,W,L,L
1986,1166,L,L,W,L,W
1986,1175,L,W,L,W,W
1986,1386,W,W,W,W,L
1986,1224,L,W,L,L,L
1986,1293,L,W,L,L,L
1986,1110,L,L,W,L,W
1986,1123,W,W,W,W,W
1986,1279,L,W,L,L,L
1986,1329,L,W,L,W,L
1986,1239,W,W,W,W,W
1986,1382,L,W,L,L,W
1986,1227,L,W,L,L,W
1986,1446,L,W,L,W,L
1986,1299,W,W,W,W,W
1987,1272,W,W,W,W,W
1987,1276,W,L,L,W,W
1987,1328,L,W,L,L,L
1987,1395,L,W,L,W,W
1987,1396,W,W,W,L,W
1987,1424,W,W,W,W,W
1987,1437,L,L,L,L,W
1987,1443,W,L,W,W,L
1987,1156,L,W,W,W,W
1987,1133,L,W,L,W,W
1987,1140,L,W,W,W,W
1987,1261,L,W,W,W,L
1987,1438,L,W,W,W,W
1987,1112,L,W,L,W,W
1987,1224,L,W,W,W,W
1987,1323,W,W,W,W,W
1987,1301,W,W,W,W,W
1987,1298,W,W,W,W,W
1987,1104,W,W,W,W,W
1987,1116,L,L,W,W,W
1987,1120,L,W,W,L,W
1987,1130,L,W,L,W,L
1987,1131,L,W,W,L,W
1987,1155,L,L,W,L,W
1987,1160,L,W,W,L,L
1987,1171,W,L,L,L,W
1987,1179,L,W,W,L,L
1987,1197,L,L,L,L,L
1987,1199,L,W,W,W,L
1987,1200,L,L,W,L,L
1987,1201,W,L,L,L,L
1987,1210,L,L,L,L,W
1987,1220,L,L,W,L,L
1987,1225,L,W,L,L,W
1987,1228,W,W,W,W,L
1987,1270,L,W,L,W,L
1987,1274,W,L,W,L,L
1987,1277,L,L,W,L,L
1987,1281,W,W,W,W,W
1987,1292,L,W,W,L,W
1987,1307,L,W,W,W,W
1987,1314,L,W,W,W,W
1987,1318,W,W,W,W,W
1987,1321,W,L,L,L,L
1987,1336,L,W,W,L,W
1987,1344,L,W,W,L,W
1987,1345,L,W,W,W,W
1987,1348,L,W,W,W,W
1987,1350,L,W,L,W,W
1987,1360,L,W,W,W,W
1987,1365,W,W,W,L,W
1987,1375,L,W,L,W,L
1987,1385,L,W,L,L,W
1987,1387,L,W,W,W,W
1987,1397,L,W,W,L,L
1987,1398,W,L,W,W,W
1987,1403,L,W,W,L,L
1987,1409,W,L,W,L,W
1987,1414,L,W,W,L,W
1987,1429,L,L,L,W,L
1987,1435,L,W,W,L,L
1987,1450,L,W,W,L,L
1987,1457,L,L,W,W,W
1987,1463,L,L,L,W,L
1987,1464,L,L,L,W,L
1987,1419,L,L,L,L,W
1987,1212,L,W,W,W,L
1987,1412,W,W,W,W,W
1987,1373,L,W,W,L,L
1987,1180,L,W,W,L,W
1987,1209,L,L,L,W,L
1987,1451,L,W,L,L,W
1987,1216,L,W,L,W,L
1987,1283,W,W,W,W,W
1987,1126,L,W,W,L,W
1987,1196,L,L,L,W,L
1987,1284,L,W,L,L,L
1987,1165,W,L,L,L,W
1987,1390,L,W,W,W,L
1987,1227,L,W,W,L,W
1987,1186,W,L,L,L,L
1987,1308,L,L,W,L,W
1987,1410,L,L,L,L,W
1987,1416,L,W,L,W,L
1987,1185,L,W,W,W,W
1987,1117,L,W,W,W,W
1987,1118,L,L,L,L,W
1987,1432,L,L,L,L,L
1987,1400,L,W,L,L,L
1987,1150,L,W,W,W,L
1987,1218,L,L,L,L,L
1987,1257,L,W,L,W,L
1987,1420,W,W,L,W,L
1987,1247,L,L,W,W,W
1987,1110,L,W,W,L,L
1987,1391,L,W,W,L,W
1987,1239,W,L,W,W,L
1987,1349,L,L,L,W,L
1987,1428,L,L,W,L,W
1987,1364,L,W,L,W,W
1987,1147,L,L,L,W,L
1987,1380,W,W,W,W,W
1987,1114,L,W,W,L,W
1987,1111,L,L,L,W,L
1987,1359,L,L,L,L,L
1987,1168,L,W,W,W,L
1987,1462,W,W,W,W,W
1987,1304,L,W,W,L,L
1987,1449,L,W,W,W,W
1987,1433,L,L,L,W,W
1987,1211,L,W,L,L,W
1987,1271,L,L,L,L,L
1987,1436,L,W,L,L,L
1987,1265,W,W,W,W,W
1987,1129,L,W,L,W,W
1987,1135,L,L,W,L,L
1987,1145,L,L,L,W,W
1987,1148,L,L,L,W,W
1987,1151,L,L,W,W,W
1987,1154,L,W,L,L,W
1987,1163,L,W,L,L,L
1987,1177,W,L,W,W,W
1987,1203,L,W,L,L,L
1987,1229,L,W,W,L,W
1987,1231,W,L,L,W,W
1987,1234,W,W,W,W,L
1987,1235,L,L,W,L,W
1987,1238,L,W,W,W,L
1987,1245,L,W,W,L,L
1987,1246,L,W,W,L,L
1987,1248,L,W,W,W,W
1987,1250,L,W,L,L,W
1987,1290,L,L,W,W,L
1987,1305,L,W,W,W,W
1987,1309,W,W,W,W,W
1987,1319,L,L,W,W,L
1987,1320,L,L,W,L,L
1987,1326,L,L,L,W,L
1987,1330,L,L,L,L,L
1987,1331,L,W,L,L,L
1987,1332,L,W,W,L,L
1987,1333,L,L,L,L,L
1987,1337,L,W,W,L,L
1987,1339,L,L,L,L,W
1987,1353,L,W,W,L,L
1987,1354,L,W,L,L,W
1987,1371,L,L,L,W,L
1987,1374,L,W,W,W,W
1987,1393,L,W,W,W,W
1987,1417,W,W,W,W,W
1987,1423,L,W,W,W,L
1987,1452,L,W,W,W,W
1987,1455,W,W,W,W,W
1987,1458,L,W,W,W,L
1987,1461,W,W,W,L,L
1987,1256,W,W,W,W,W
1987,1226,W,W,W,W,L
1987,1306,L,L,L,L,W
1987,1233,L,W,W,W,L
1987,1389,L,W,W,W,L
1987,1269,L,W,W,W,L
1987,1296,L,L,L,W,L
1987,1164,L,L,L,W,W
1987,1388,L,W,L,W,W
1987,1181,L,W,L,L,W
1987,1453,L,W,L,L,W
1987,1286,L,W,L,W,W
1987,1178,L,W,L,L,L
1987,1311,W,L,L,W,L
1987,1267,W,W,W,W,W
1987,1122,W,W,W,L,W
1987,1159,W,L,L,L,L
1987,1217,L,L,W,L,L
1987,1368,L,W,L,L,L
1987,1149,W,W,W,L,W
1987,1143,L,W,L,W,L
1987,1253,L,L,L,L,L
1987,1425,L,L,L,W,L
1987,1134,L,L,L,L,L
1987,1137,W,W,W,W,L
1987,1439,L,L,L,L,W
1987,1411,L,W,L,L,L
1987,1285,L,L,L,L,W
1987,1431,L,W,W,W,W
1987,1329,L,L,L,W,L
1987,1363,L,W,W,W,W
1987,1351,L,W,W,W,W
1987,1121,L,L,L,L,L
1987,1162,W,W,L,L,W
1987,1347,L,W,L,W,L
1987,1260,L,W,L,L,W
1987,1119,L,W,L,W,L
1987,1206,L,L,W,L,L
1987,1334,L,L,L,L,L
1987,1378,L,L,L,L,L
1987,1208,L,W,L,W,W
1987,1434,L,L,L,L,L
1987,1444,L,L,L,L,L
1987,1184,L,W,W,W,W
1987,1187,L,W,L,L,L
1987,1191,L,L,L,W,W
1987,1222,L,W,L,W,L
1987,1241,L,W,L,W,W
1987,1242,L,W,W,L,L
1987,1249,L,W,L,W,W
1987,1264,L,L,L,L,L
1987,1266,L,W,L,W,L
1987,1273,L,L,W,L,W
1987,1299,W,W,W,W,W
1987,1322,L,L,L,W,W
1987,1325,L,L,L,W,W
1987,1356,L,W,W,L,L
1987,1362,L,W,W,L,L
1987,1379,L,W,L,L,W
1987,1402,L,L,L,W,W
1987,1448,L,W,L,L,W
1987,1202,L,W,L,W,L
1987,1376,L,W,W,L,L
1987,1335,W,W,L,W,W
1987,1278,L,L,L,L,L
1987,1440,L,L,W,W,L
1987,1352,L,L,L,W,W
1987,1383,L,W,W,L,W
1987,1123,W,L,L,L,L
1987,1103,L,W,L,W,W
1987,1124,L,W,W,W,W
1987,1293,L,W,W,L,L
1987,1361,L,W,W,L,W
1987,1372,W,W,W,W,W
1987,1426,L,L,L,W,L
1987,1157,L,W,L,L,W
1987,1166,L,L,L,W,L
1987,1405,L,W,L,W,L
1987,1441,L,W,W,W,L
1987,1193,W,W,W,W,L
1987,1152,L,W,L,L,L
1987,1401,W,W,W,L,L
1987,1221,L,L,W,L,L
1987,1139,L,L,L,L,L
1987,1153,L,L,L,L,W
1987,1207,W,W,W,W,W
1987,1232,L,L,L,L,W
1987,1275,L,W,L,W,L
1987,1288,L,W,L,L,L
1987,1310,L,W,W,W,W
1987,1338,L,W,L,W,W
1987,1427,L,W,W,L,L
1987,1132,L,W,W,W,W
1987,1279,L,L,W,L,L
1987,1421,L,W,W,L,L
1987,1386,L,W,L,L,L
1987,1358,W,W,W,L,W
1987,1173,L,L,W,L,W
1987,1141,W,W,W,W,L
1987,1175,L,L,W,W,L
1987,1190,L,L,L,L,L
1987,1382,L,L,L,L,L
1987,1384,L,W,L,L,L
1987,1317,L,W,L,W,L
1987,1172,L,W,W,W,L
1987,1418,L,W,L,L,L
1987,1243,L,W,W,L,L
1987,1263,L,L,W,W,W
1987,1268,L,L,W,L,L
1987,1442,L,W,L,L,L
1987,1223,L,W,W,L,W
1987,1456,L,L,L,L,L
1987,1287,L,L,L,W,L
1987,1113,L,W,L,L,W
1987,1204,W,W,W,W,W
1987,1258,L,W,L,W,L
1987,1108,L,L,W,W,L
1987,1174,L,L,L,L,L
1987,1254,L,W,W,W,L
1987,1215,L,W,L,W,L
1987,1106,L,L,L,L,L
1987,1182,L,W,L,L,L
1987,1406,L,W,W,L,L
1987,1109,L,W,W,L,L
1987,1144,L,W,W,W,W
1987,1102,L,L,L,L,L
1987,1343,W,W,W,W,W
1987,1447,L,W,W,L,W
1987,1161,L,L,L,W,L
1987,1259,L,W,L,W,W
1987,1183,L,L,W,W,W
1987,1192,L,W,W,W,L
1987,1399,W,L,L,L,W
1987,1280,L,L,L,W,W
1987,1341,L,W,W,L,L
1988,1196,L,W,L,W,W
1988,1210,L,L,L,W,W
1988,1235,L,W,W,W,L
1988,1292,L,W,W,L,W
1988,1307,L,L,L,W,L
1988,1345,W,L,W,W,W
1988,1371,L,W,L,W,W
1988,1417,L,W,W,W,W
1988,1239,L,L,W,L,L
1988,1108,L,W,L,L,L
1988,1400,L,L,W,W,W
1988,1439,L,L,L,L,W
1988,1451,L,W,W,L,L
1988,1114,L,W,W,L,W
1988,1206,L,W,W,W,L
1988,1331,L,W,L,W,L
1988,1314,L,W,W,L,W
